Name,Description,Code,Client Application,Contact Manager,Contact Viewer,Rule Admin,Superuser,Tools View,User Admin
Create address book contacts,Permission to create a new contact in the address book,abcreate,x,x,,,x,,
Create address book preferred vendors,Permission to add a preferred vendor to the address book,abcreatepref,x,x,,,x,,
Delete address book contacts,Permission to delete an existing contact in the address book,abdelete,x,x,,,x,,
Delete address book preferred vendors,Permission to delete an existing preferred vendor address book entry,abdeletepref,x,x,,,x,,
Edit address book contacts,Permission to edit an existing contact in the address book,abedit,x,x,,,x,,
Edit address book preferred vendors,Permission to modify an existing preferred vendor address book entry,abeditpref,x,x,,,x,,
View address book contacts,Permission to view the details of contact entries in the address book,abview,x,x,x,,x,,
View merge,Permission to view the merge pages,abviewmerge,,x,,,x,,
View pending,Permission to view the pending changes page,abviewpending,,x,,,x,,
View address book contact search pages,Permission to search contact entries in the address book,abviewsearch,x,x,x,,x,,
Approve any approval activity,Permission to approve any approval activity even if the activity is assigned to someone else; the approver is still subject to authority limit restrictions,actapproveany,,,,,,,
Create activities,Permission to create new activities,actcreate,,,,,,,
Edit unowned activities,Permission to modify (edit/skip/close) activities owned by other users,acteditunowned,,,,,,,
Make activities mandatory,Permission to set whether an activity is mandatory,actmakemand,,,,,,,
Own activity,Permission to own an activity and to see the Desktop Activities page,actown,,,,,,,
Create activity pattern,Permission to create new activity patterns,actpatcreate,,,,,,,
Delete activity pattern,Permission to delete activity patterns,actpatdelete,,,,,,,
Edit activity pattern,Permission to edit activity patterns,actpatedit,,,,,,,
View activity pattern,Permission to view the list of activity patterns or activity pattern details,actpatview,,,,,,,
Get next activity from queue,Permission to get the next activity off of a queue,actqueuenext,,,,,,,
Pick activity from queue,Permission to pick an activity from a queue,actqueuepick,,,,,,,
Reassign owned activities,Permission to reassign your own activities,actraown,,,,,,,
Reassign unowned activities,Permission to reassign activities owned by other users,actraunown,,,,,,,
Review assignments,Permission to review and approve manually-approved assignables,actreviewassign,,,,,,,
View activities,Permission to view activities,actview,,,,,,,
View All activity queues,"Permission to view all activity queues, even those in other security zones",actviewallqueues,,,,,,,
Execute Data Change,Permission to execute the data change.,admindatachangeexec,,,,,x,,
View Data Change,Permission to view the data change page.,admindatachangeview,,,,,x,,
View authority limit profiles,Permission to view authority limit profiles,alpview,,,,,,,
Create contact with any tag,Permission to create a new contact regardless of which tag(s) it has,anytagcreate,x,x,,,x,,
Delete contact with any tag,Permission to delete a contact regardless of which tag(s) it has,anytagdelete,x,x,,,x,,
Edit contact with any tag,Permission to edit the details of a contact regardless of which tag(s) it has,anytagedit,x,x,,,x,,
View contact with any tag,Permission to view the details of a contact regardless of which tag(s) it has,anytagview,x,x,x,,x,,
Archive objects,Permission to archive objects,archive,,,,,x,,
